event_id,layer,x,y,z,t
0,0,-3.3886,-19.7165,94.1264,15.5386
0,1,-8.936,-39.0059,188.3348,16.2386
0,2,-16.6781,-57.6438,282.4891,16.9095
0,3,-26.5138,-75.4924,376.6692,17.5845
0,4,-38.3707,-92.3382,470.8224,18.4459
0,0,-14.4653,-13.8181,90.1328,8.2658
0,1,-17.2192,-36.1092,180.3019,8.9876
0,2,-4.8515,-59.7837,270.5154,9.7347
0,3,22.3959,-76.7848,360.5929,10.1237
0,4,60.3661,-79.7466,450.7394,10.8606
0,0,5.6365,-19.2056,-58.5442,0.9669
0,1,9.8024,-38.7567,-117.1096,1.7839
0,2,12.3148,-58.7211,-175.6414,2.2785
0,3,13.2939,-78.8564,-234.2185,2.8891
0,4,12.6123,-99.2039,-292.7752,3.7979
0,0,19.7104,3.3953,-30.9052,11.1564
0,1,39.8417,3.5123,-61.7844,11.97
0,2,59.9832,0.2651,-92.7027,12.7214
0,3,79.7426,-6.2688,-123.626,13.4521
0,4,98.6811,-16.1086,-154.5428,13.8755
0,0,19.9882,1.4207,59.0528,13.9372
0,1,39.7952,3.9347,118.1,14.8119
0,2,59.5212,7.562,177.2291,15.2468
0,3,79.0387,12.2761,236.2823,16.0534
0,4,98.3556,18.0467,295.3832,16.7921
0,0,-19.1734,-5.7268,-5.2972,17.6085
0,1,-38.7276,-9.8716,-10.58,18.1444
0,2,-58.7047,-12.428,-15.8095,18.8907
0,3,-78.8758,-13.3709,-21.1119,19.3478
0,4,-99.1876,-12.6549,-26.3936,20.1206
0,0,16.6342,11.0882,-17.654,14.2148
0,1,35.8524,17.7805,-35.2515,14.7849
0,2,56.6941,19.6977,-52.865,15.6427
0,3,78.2908,16.5652,-70.4677,16.1864
0,4,99.6619,8.1424,-88.0958,16.868
0,0,-19.9363,-1.3236,-110.3827,19.5186
0,1,-39.4171,-6.8473,-220.8161,19.914
0,2,-57.72,-16.3814,-331.192,20.745
0,3,-74.2436,-29.7678,-441.602,21.601
0,4,-88.3772,-46.7854,-552.0173,22.0439
0,0,16.9522,-10.6015,95.7683,19.5143
0,1,33.3679,-22.0417,191.4497,19.8514
0,2,49.2404,-34.2777,287.1549,20.8319
0,3,64.55,-47.2549,382.9215,21.3147
0,4,79.267,-60.9906,478.5937,22.0731
0,0,-14.5851,-13.654,-30.8549,13.549
0,1,-27.7985,-28.7538,-61.786,13.9668
0,2,-39.4571,-45.2153,-92.6453,14.7301
0,3,-49.5215,-62.8512,-123.5342,15.4582
0,4,-57.8051,-81.6194,-154.3762,16.1297
0,0,18.0695,8.6278,13.0749,5.4775
0,1,37.5035,13.9868,26.1395,6.135
0,2,57.8546,15.8752,39.2238,6.8752
0,3,78.7245,14.2326,52.3019,7.5057
0,4,99.6074,8.9578,65.3696,8.3852
0,0,-18.5326,-7.482,-94.9435,19.6069
0,1,-37.5902,-13.8714,-189.855,20.1547
0,2,-56.8659,-19.0695,-284.7837,20.9592
0,3,-76.5786,-23.0786,-379.6767,21.6138
0,4,-96.6173,-25.8537,-474.6209,22.2195
0,0,19.9271,-1.4406,8.8526,17.6426
0,1,38.9607,9.1652,17.663,18.3217
0,2,51.6228,30.5353,26.5205,18.9181
0,3,53.5178,59.4575,35.3487,19.7529
0,4,41.6733,90.9182,44.2141,20.0909
0,0,18.6637,-7.1375,-16.6512,18.9724
0,1,37.7582,-13.1248,-33.3379,19.8263
0,2,57.325,-17.8245,-49.9949,20.4029
0,3,77.1172,-21.2646,-66.6595,21.1384
0,4,97.1978,-23.4705,-83.3167,21.6488
0,0,-18.1123,-8.4894,94.0862,2.7757
0,1,-36.5917,-16.0665,188.2318,3.4237
0,2,-55.5084,-22.7664,282.335,3.9464
0,3,-74.742,-28.6053,376.4813,4.7725
0,4,-94.2234,-33.5041,470.5788,5.4981
0,0,-19.9519,1.1085,24.7861,14.5265
0,1,-40.0001,-0.1642,49.5794,15.2107
0,2,-59.8685,-3.779,74.3572,16.0003
0,3,-79.3807,-9.8322,99.1504,16.628
0,4,-98.3339,-18.1828,123.9328,17.3432
0,0,-18.9508,6.2928,22.8504,18.0297
0,1,-37.498,13.9266,45.7158,18.6524
0,2,-55.4943,22.8664,68.5439,19.2893
0,3,-72.8439,33.0532,91.4476,19.9405
0,4,-89.5483,44.5276,114.3001,20.5834
0,0,13.9376,-14.348,-79.2998,1.6874
0,1,27.1682,-29.366,-158.6058,2.4917
0,2,39.5929,-45.0571,-237.9192,3.1249
0,3,51.362,-61.333,-317.1923,3.8284
0,4,62.2769,-78.2676,-396.5557,4.5173
0,0,-13.1478,15.1261,12.5014,1.3106
0,1,-27.1558,29.4306,25.0514,1.849
0,2,-42.1315,42.7071,37.5399,2.6349
0,3,-58.0599,55.0404,50.0634,3.4265
0,4,-74.8104,66.3434,62.5181,4.0841
0,0,-19.882,-2.4624,-23.8124,24.4014
0,1,-39.8476,-3.9338,-47.6663,25.1383
0,2,-59.8305,-4.4272,-71.4707,25.6321
0,3,-79.9067,-3.8689,-95.3002,26.4551
0,4,-99.9825,-2.3857,-119.1028,26.9678
1,0,-19.9502,1.4049,-14.6367,8.9036
1,1,-39.4716,6.5048,-29.2747,9.2954
1,2,-58.0357,15.2315,-43.9182,10.0452
1,3,-75.1669,27.4062,-58.5617,10.719
1,4,-90.3763,42.7762,-73.2029,11.4631
1,0,-0.5367,-20.0064,-70.7421,1.1334
1,1,1.1074,-39.9666,-141.4322,1.9005
1,2,4.8335,-59.8036,-212.1325,2.6032
1,3,10.7025,-79.248,-282.9144,3.1016
1,4,18.6832,-98.2707,-353.6715,3.9292
1,0,1.1385,19.9218,11.0935,6.3145
1,1,1.3982,39.9753,22.1664,7.0498
1,2,0.6232,60.0487,33.224,7.6828
1,3,-0.9573,79.9778,44.347,8.3266
1,4,-3.5258,99.9407,55.4029,8.9677
1,0,-14.513,13.7285,9.7536,3.9141
1,1,-30.7613,25.5845,19.4244,4.614
1,2,-48.5139,35.2845,29.2182,5.3
1,3,-67.5883,42.794,38.971,6.0525
1,4,-87.7434,47.9492,48.6748,6.6504
1,0,-8.1786,-18.2781,46.1203,23.554
1,1,-12.2495,-38.0687,92.2748,24.2508
1,2,-11.9318,-58.8251,138.3668,24.5353
1,3,-7.2232,-79.6735,184.5261,25.2103
1,4,2.0051,-99.9944,230.6699,26.139
1,0,-19.9447,-1.6033,64.8744,22.9323
1,1,-39.2495,-7.5487,129.7856,23.7636
1,2,-57.3038,-17.7097,194.6802,24.292
1,3,-73.3861,-31.7869,259.6128,25.1148
1,4,-86.8996,-49.5336,324.4601,25.6294
1,0,-15.9313,12.0752,8.6003,7.7713
1,1,-31.2979,24.9347,17.1538,8.6618
1,2,-45.9847,38.546,25.7571,9.1593
1,3,-60.0182,52.9004,34.3424,9.729
1,4,-73.2888,67.991,42.9269,10.4685
1,0,-17.5715,9.5735,-67.3564,23.83
