0 -9 81
1 -6 36
2 -1 1
3 9 81
4 -2 4
5 0 0
6 0 0
7 -1 1
8 5 25
9 0 0
10 -8 64
11 9 81
12 10 100
13 -6 36
14 10 100
15 -3 9
16 -7 49
17 5 25
18 6 36
19 6 36
20 7 49
21 4 16
22 2 4
23 -1 1
24 -8 64
25 -5 25
26 -5 25
27 3 9
28 -9 81
29 9 81
30 -5 25
31 -10 100
32 -7 49
33 2 4
34 7 49
35 -1 1
36 -9 81
37 -3 9
38 6 36
39 6 36
40 5 25
41 8 64
42 2 4
43 4 16
44 10 100
45 0 0
46 10 100
47 -8 64
48 -8 64
49 5 25
50 7 49
51 9 81
52 -3 9
53 -2 4
54 -2 4
55 -1 1
56 1 1
57 1 1
58 -9 81
59 0 0
60 -1 1
61 -4 16
62 1 1
63 2 4
64 7 49
65 -5 25
66 9 81
67 8 64
68 0 0
69 4 16
70 2 4
71 -7 49
72 -1 1
73 -7 49
74 7 49
75 -1 1
76 1 1
77 4 16
78 -1 1
79 4 16
80 -3 9
81 -7 49
82 2 4
83 4 16
84 1 1
85 8 64
86 -10 100
87 -8 64
88 -2 4
89 -9 81
90 2 4
91 8 64
92 -5 25
93 -10 100
94 -3 9
95 -9 81
96 -6 36
97 -4 16
98 8 64
99 4 16
100 8 64
101 -3 9
102 7 49
103 -3 9
104 -2 4
105 2 4
106 4 16
107 10 100
108 -7 49
109 -10 100
110 3 9
111 -2 4
112 -6 36
113 -8 64
114 10 100
115 3 9
116 -10 100
117 10 100
118 3 9
119 -2 4
120 9 81
121 -7 49
122 -7 49
123 -6 36
124 -7 49
125 1 1
126 -7 49
127 -5 25
128 5 25
129 9 81
130 8 64
131 0 0
132 -5 25
133 2 4
134 5 25
135 4 16
136 -9 81
137 -2 4
138 1 1
139 -5 25
140 -3 9
141 -7 49
142 1 1
143 1 1
144 -7 49
145 1 1
146 -7 49
147 -7 49
148 0 0
149 7 49
150 0 0
151 -1 1
152 8 64
153 1 1
154 1 1
155 9 81
156 10 100
157 2 4
158 -6 36
159 4 16
160 1 1
161 -9 81
162 -8 64
163 4 16
164 3 9
