0 3 73
1 6 79
2 17 101
3 15 97
4 13 93
5 15 97
6 6 79
7 12 91
8 9 85
9 1 69
10 2 71
11 7 81
12 10 87
13 19 105
14 3 73
15 6 79
16 0 67
17 6 79
18 12 91
19 16 99
20 11 89
21 8 83
22 7 81
23 9 85
24 2 71
25 10 87
26 2 71
27 3 73
28 7 81
29 15 97
30 9 85
31 2 71
32 2 71
33 18 103
34 9 85
35 7 81
36 13 93
37 16 99
38 11 89
39 2 71
40 9 85
41 13 93
42 1 69
43 19 105
44 4 75
45 17 101
46 18 103
47 4 75
48 15 97
49 10 87
50 13 93
51 6 79
52 11 89
53 0 67
54 16 99
55 13 93
56 2 71
57 10 87
58 16 99
59 1 69
