0 3 16 285
0 7 25 464
0 3 25 587
0 6 12 427
0 9 1 472
0 2 7 469
0 0 19 538
0 3 16 575
1 0 6 298
1 2 16 417
1 1 8 585
1 7 9 570
1 2 20 479
1 2 13 193
1 7 25 409
1 9 12 538
2 2 18 387
2 9 27 504
2 3 16 639
2 1 22 664
2 9 3 521
2 1 29 526
2 4 7 579
2 8 14 555
3 5 0 344
3 3 16 511
3 1 20 629
3 6 3 479
3 2 20 473
3 6 1 201
3 5 15 507
3 4 27 614
4 6 5 352
4 6 9 560
4 3 17 583
4 4 15 477
4 2 15 432
4 4 27 294
4 4 14 526
4 3 20 565
5 7 18 564
5 6 8 770
5 8 24 848
5 3 11 834
5 4 19 516
5 2 0 545
5 6 18 647
5 9 22 702
6 6 6 453
6 4 29 737
6 5 10 757
6 4 28 666
6 7 21 584
6 7 2 460
6 7 12 639
6 2 26 808
7 1 20 222
7 6 1 532
7 5 29 356
7 4 29 424
7 0 9 391
7 1 7 255
7 7 11 377
7 1 5 475
